group,name,n_texts,n_numbers,chi2,p
model,gpt-4o,40,3836,17.648741755985952,0.024019734181666575
model,gpt-3.5-turbo,40,3177,33.73708450299756,4.533291903546853e-05
model,gpt-5-nano,40,3392,125.52042366946038,2.395565415397909e-23
type,other,66,5012,62.29626691502624,1.6486878734716995e-10
type,csv_table,18,1123,65.53361256988235,3.784767728226111e-11
type,financial_receipt,18,2659,45.598596755433725,2.8332833981523437e-07
type,bank_statement,6,552,20.855988888169563,0.007539981022045741
type,sensor_logs,6,968,46.751000037609494,1.710431266522539e-07
type,narrative,6,91,3.6764262995698482,0.8850743994000987
