model,n_texts,benford_chi2,benford_p,zipf_slope,zipf_r2,zipf_types
gpt-4o,399,1322.0340028778094,4.0590367624497664e-280,-1.1001771775364462,0.9758618963707263,6332
gpt-3.5-turbo,421,985.8641562331385,1.6794779805580946e-207,-1.1431421935170438,0.977370065280426,4061
gpt-5-nano,317,4576.8441809010665,0.0,-1.0708722319515762,0.9761768818325167,6497
