prompt_type,n_responses,benford_chi2,benford_p,zipf_slope,zipf_r2
other,557,1250.8706873378205,9.758033143516928e-265,-1.0440990463272468,0.9720299968474259
narrative,130,384.2712889957007,4.325346603121507e-78,-1.0037713262100605,0.9683224094180833
csv_table,152,4812.467981238254,0.0,-1.2154824411123653,0.9519761680737584
sensor_logs,42,216.64177961910082,1.9719830312071614e-42,-0.8673417940600011,0.9512374933178278
financial_receipt,181,949.7490751293794,1.0445774679638616e-199,-1.2260714381657052,0.9745537536457338
reviews,8,133.30120627611086,5.847389232585175e-25,-0.7401189049852375,0.9300457210468577
medical,22,72.00058194308372,1.9620235226446793e-12,-1.4453766361805094,0.9401855108747708
bank_statement,45,1447.3022737777464,3.3461283295085536e-307,-1.0027586543140152,0.9584504029045469
