model,n_texts,benford_chi2,benford_p,zipf_slope,zipf_r2,zipf_types
gpt-4o,179,159.96977051320115,1.622805996784265e-30,-1.081494855478886,0.9738289892361734,1159
gpt-3.5-turbo,201,788.218015737437,7.122632168829218e-165,-0.9340052118436097,0.9447343966176017,799
gpt-5-nano,97,763.4601879840819,1.5390832031396315e-159,-0.8711718175288201,0.931611406736049,2076
