group,name,n_texts,n_numbers,chi2,p
model,gpt-4o,15,1360,12.590266149486697,0.1267465032434141
model,gpt-3.5-turbo,15,1188,50.21145942496136,3.7216245171014055e-08
model,gpt-5-nano,15,1098,76.14912077597484,2.902863387354774e-13
type,csv_table,6,420,153.28978146110768,4.0360097055254546e-29
type,other,21,1357,35.07150207889216,2.5948381581672868e-05
type,financial_receipt,9,1111,37.99187637253604,7.55435098946593e-06
type,bank_statement,3,214,12.474822857860229,0.13124243331551239
type,sensor_logs,3,496,58.279867039695475,1.012574022993456e-09
type,narrative,3,48,4.905664270472582,0.7676096706347885
