group,name,n_texts,n_numbers,chi2,p
model,gpt-4o,20,1184,16.39790768547082,0.03702627705842812
model,gpt-3.5-turbo,20,1398,80.70105478115708,3.532271654677134e-14
model,gpt-5-nano,20,1267,72.84984379284424,1.3278060097865046e-12
type,other,24,1958,128.46966324147883,5.8716971208843034e-24
type,financial_receipt,12,540,9.140809318020944,0.3305571478560364
type,csv_table,12,779,37.85621280106432,8.002985433504564e-06
type,bank_statement,6,447,29.718143745274663,0.0002370466722326002
type,narrative,6,125,9.873505412239542,0.27401671424332125
