model,n_texts,benford_chi2,benford_p,zipf_slope,zipf_r2,zipf_types
gpt-4o,514,1117.5547134767367,6.194072005704396e-236,-1.1350099781064336,0.9760796965055865,6990
gpt-3.5-turbo,536,934.7971128628018,1.7582775565814836e-196,-1.1645424231241956,0.9771392583514986,4416
gpt-5-nano,432,4186.867394541597,0.0,-1.0954754970303318,0.9761919162257877,6825
